audience_id,advertiser_id,user_id,name,n_audiences_by_user,name_class,n_distinct_ds_ids,ds_ids_present_str,expr_class
64113,34303,129255,GO/Powder Pink,2,name_other,4,"2,13,19,35",expr_layered
47023,46470,136909,Brewster Conquest,14,name_other,3,"13,17,19",expr_layered
70038,45027,138498,Renamed-6:43am-R1094-5410-rklrm7,417,name_other,2,"13,19",expr_pure_pp
52673,35157,122682,Test,1,name_other,4,"13,17,19,35",expr_layered
32186,37518,127297,MNTN Matched KW Audience,1,name_other,2,"13,19",expr_pure_pp
51449,44801,122462,MNTN Suggestions- BMW Attributes 10.21,280,name_other,2,"13,19",expr_pure_pp
39437,41834,134661,ECI - AWR - Furniture,1,name_other,3,"1,13,19",expr_layered
59156,38294,131318,Parkers HVAC + MM 2/9,55,name_other,5,"13,17,18,19,35",expr_heavily_layered
64708,45027,138498,Edit Test-5:30am-R4623-9716-odb9gc,417,name_other,3,"13,17,19",expr_layered
62450,45027,138498,Renamed-3:20pm-R9153-3495-8ujr18,417,name_other,2,"13,19",expr_pure_pp
50979,46912,140921,Q4 Default,1,name_other,2,"13,19",expr_pure_pp
33710,35484,122462,MNTN Matched 2.0 + Geo,280,name_other,2,"13,19",expr_pure_pp
31542,39024,130324,Skincare AI Target Audience,1,name_other,3,"13,19,35",expr_layered
52495,49070,143455,Prospecting - Including Customers & Emails Subscribers,2,name_other,3,"4,13,19",expr_layered
58681,32167,126310,narrowed1234,2,name_other,3,"13,19,35",expr_layered
53444,45921,139671,ASHBURN HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
67464,59839,155084,Kingsley Manor Leads,1,name_other,4,"13,18,19,35",expr_layered
55071,38288,131318,HVAC + MMPP 2/9,55,name_other,5,"13,17,18,19,35",expr_heavily_layered
56012,50628,128154,Moretti_Generic,2,name_other,2,"13,19",expr_pure_pp
53907,49419,143942,November run Audience,1,name_other,4,"13,18,19,35",expr_layered
62308,40279,121529,Dynamic Attributes MM,2,name_other,2,"13,19",expr_pure_pp
53589,45921,139671,ROGERS HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
27866,37786,142999,MNTN_Prospecting,1,name_other,4,"2,13,19,35",expr_layered
69080,60901,131318,Avails,55,name_other,3,"13,19,35",expr_layered
51692,49070,143455,Prospecting - Excluding Customers and Emails Subscribers,2,name_other,3,"4,13,19",expr_layered
54628,45520,122462,(Zips) Homeowners - HVAC,280,name_other,4,"13,18,19,35",expr_layered
64471,45027,138498,Edit Test-10:58am-R3471-4053-znxsvn,417,name_other,3,"13,17,19",expr_layered
70515,61508,156588,Jurassic World Initial,1,name_other,4,"4,13,19,35",expr_layered
55296,49230,143691,MNTN Matched (All Relevant - Keeping Good Performers) | TMR,5,name_other,3,"2,13,19",expr_layered
56614,38458,139935,KY - Prospecting Broad,2,name_other,7,"2,4,13,17,18,19,35",expr_heavily_layered
63568,45027,138498,Renamed-8:13pm-R2950-6296-m5ghav,417,name_other,2,"13,19",expr_pure_pp
50196,35832,122462,Q4 2025 MNTN Match + Seattle/Tacoma/Portland Geo,280,name_other,2,"13,19",expr_pure_pp
73593,40457,124581,B2C AI Keywords + 3PD (sugar house),39,name_other,3,"13,19,35",expr_layered
64608,58923,153905,Jared Mobile,1,name_other,2,"13,19",expr_pure_pp
58458,35881,126366,Prospecting - 3P Financial Advisors + MNTN Match + CRM,1,name_other,7,"2,4,13,17,18,19,35",expr_heavily_layered
53562,45921,139671,LENEXA HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
52588,49211,143654,Ripple Locations,1,name_other,5,"4,13,17,19,35",expr_heavily_layered
44832,32987,118015,Americas 250 - MNTN Match,6,name_other,4,"13,18,19,35",expr_layered
35950,36945,125342,Cole Haan | MNTN Matched KW List,1,name_other,3,"2,13,19",expr_layered
52109,32167,117702,testing interest resolver,3,name_other,4,"13,18,19,35",expr_layered
67451,45027,138498,Renamed-6:52am-R0036-7647-vdm3jf,417,name_other,2,"13,19",expr_pure_pp
57696,55335,113378,CAN Syracuse,15,name_other,3,"13,19,35",expr_layered
64760,33278,136934,MNTN Matched (2026 Update)  Copy 01,1,name_other,2,"13,19",expr_pure_pp
33705,39392,122462,MNTN Matched + Geo,280,name_other,2,"13,19",expr_pure_pp
63400,45027,138498,Edit Test-7:40pm-R1458-6603-tqnu36,417,name_other,3,"13,17,19",expr_layered
54701,37129,127127,PRO US MNTN Matched Updated 12.4.25,1,name_other,6,"1,2,13,18,19,35",expr_heavily_layered
52441,49259,118060,Prospecting: Keywords,1,name_other,2,"13,19",expr_pure_pp
52838,49050,136321,Homeowner AND Remodeling ETX,1,name_other,4,"13,17,19,35",expr_layered
71541,45027,138498,Renamed-9:21pm-R0096-8143-qkxxmf,417,name_other,2,"13,19",expr_pure_pp
74113,62851,158047,TELEVISION Campaign Copy 02,4,name_other,2,"13,19",expr_pure_pp
50513,41798,121074,MNTN Matched AI Keywords - Select DMAs - NEW,6,name_other,3,"2,13,19",expr_layered
54746,36470,143554,HDTLA Dec 25 (7mile+41Zips+InMktHonda+Toyota+Peak)),7,name_other,5,"1,4,13,19,35",expr_heavily_layered
69306,61001,156059,Miami. doral mayores de 24,1,name_other,4,"13,17,19,35",expr_layered
73548,62777,134670,Canyon County Republicans,1,name_other,3,"13,19,35",expr_layered
68972,45027,138498,Renamed-9:07pm-R5637-9031-naf2cf,417,name_other,2,"13,19",expr_pure_pp
53590,45921,139671,ROSCOE VILLAGE HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
41446,42097,130358,MNTN Recommended Adults,11,name_other,4,"2,4,13,19",expr_layered
55575,51095,139840,reMarkable - Prospecting Audience,2,name_other,4,"13,17,19,35",expr_layered
51252,38292,122462,HVAC 10/17 No Havertown,280,name_other,5,"13,17,18,19,35",expr_heavily_layered
68837,60341,153637,Prospecting - AI + 3PD (sam-ridley),1,name_other,3,"13,19,35",expr_layered
53498,45921,139671,FLUSHING HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
47451,42665,122462,Service Area,280,name_other,2,"13,19",expr_pure_pp
67771,45027,138498,Renamed-6:49am-R2560-7222-scakvm,417,name_other,2,"13,19",expr_pure_pp
55762,50145,121405,Test,2,name_other,2,"13,19",expr_pure_pp
42495,34838,132113,hc-z4-txs-btv-2026,31,name_other,4,"1,13,19,35",expr_layered
47318,46620,136909,Wilbraham Conquest,14,name_other,4,"13,17,19,35",expr_layered
56398,51468,145198,WY/NE - BHV/Demo,3,name_other,5,"13,17,18,19,35",expr_heavily_layered
55374,50645,144413,In-Market,4,name_other,4,"13,17,19,35",expr_layered
63941,57990,155402,Race Comms_2026_Pros,1,name_other,6,"2,13,17,18,19,35",expr_heavily_layered
52368,34400,121135,Homeowners,1,name_other,4,"13,17,19,35",expr_layered
43469,40451,132612,California,2,name_other,2,"13,19",expr_pure_pp
74161,63068,158277,TELEVISION Campaign,3,name_other,2,"13,19",expr_pure_pp
50519,35827,126437,October - Shoppers MNTN Matched,4,name_other,4,"13,18,19,35",expr_layered
51380,38296,131318,Schneller KY - Plumbing + HVAC 10/20,55,name_other,6,"1,13,17,18,19,35",expr_heavily_layered
50324,40785,122462,Blokes Keywords - Peak (Oct),280,name_other,4,"2,4,13,19",expr_layered
50934,48755,143037,WPD 2025 - Vaccine Motivated U.S.,2,name_other,3,"13,19,35",expr_layered
52981,47500,122462,Glyphosate Free,280,name_other,2,"13,19",expr_pure_pp
61718,45027,138498,Edit Test-3:41pm-R3100-5571-hyj57l,417,name_other,3,"13,17,19",expr_layered
47714,36201,122462,Matched ,280,name_other,3,"13,19,35",expr_layered
69291,45031,138500,"Josh Gates - Evans, GA",2,name_other,3,"13,19,35",expr_layered
64075,57783,152714,RAF07 - Tampa,1,name_other,4,"13,17,19,35",expr_layered
75250,63583,158814,TELEVISION Campaign Copy 01,1,name_other,2,"13,19",expr_pure_pp
55267,32819,117559,SVIP Country Music Fans (100mi Radius),2,name_other,7,"1,2,13,17,18,19,35",expr_heavily_layered
69559,32756,148553,RV Generic 2026 - PWA - 50mi - Peak Performance,4,name_contains,5,"1,13,17,19,35",expr_heavily_layered
69247,58983,155261,General Veteran Support National Awareness and Fundraising,1,name_other,3,"13,19,35",expr_layered
50404,40001,122462,GPO Holiday Savings,280,name_other,3,"13,19,35",expr_layered
54240,49796,144405,AI Generate from Website,1,name_other,2,"13,19",expr_pure_pp
55790,49789,127810,Persimmon ,4,name_other,4,"13,17,19,35",expr_layered
61593,45027,138498,Edit Test-9:25am-R9093-7826-e3upiz,417,name_other,3,"13,17,19",expr_layered
53450,45921,139671,BETLEHEM HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
56037,42556,135375,Interest Targeting 2026,1,name_other,3,"4,13,19",expr_layered
73600,40457,124581,B2C AI Keywords + 3PD (midtown doral),39,name_other,3,"13,19,35",expr_layered
53527,45921,139671,LADERA RANCH HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
50860,38290,131318,HVAC & Homeowner & Age of Home 10yrs + QM EX AKRON 10/15,55,name_other,6,"1,13,17,18,19,35",expr_heavily_layered
61822,45027,138498,Renamed-8:04pm-R4818-1357-vin892,417,name_other,2,"13,19",expr_pure_pp
53804,45921,139671,WESTERVILLE OH HOLIDAY 2025,216,name_other,3,"13,19,35",expr_layered
60966,45027,138498,Edit Test-5:32am-R8389-7383-9fpqbp,417,name_other,3,"13,17,19",expr_layered
64627,58106,128325,GLN_Pros_2026_PA-NorthEast & Lehigh Valley,7,name_other,5,"13,17,18,19,35",expr_heavily_layered
55462,41338,131042,KC Jan 2026,25,name_other,4,"1,13,19,35",expr_layered
46920,42782,128796,Jen's 3p test recommendation,1,name_other,5,"2,4,13,19,35",expr_heavily_layered
50001,46106,122462,AI Match Profile Oct 2025,280,name_other,2,"13,19",expr_pure_pp
55083,40724,122462,IM Ford/Ram/GM/Nonlux - PS Geo + 70 Zip,280,name_other,3,"13,19,35",expr_layered
52580,35827,126437,November - Plugged In Control,4,name_other,5,"13,17,18,19,35",expr_heavily_layered
53639,45921,139671,WINTER PARK HOLIDAY P 25-44,216,name_other,3,"13,19,35",expr_layered
63830,48524,130577,Berkley - Bass Fishing Targets,1,name_other,3,"4,13,19",expr_layered
52654,45406,138937,CASE CTL,2,name_other,4,"13,18,19,35",expr_layered
53491,45921,139671,EVANSTON HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
55373,50646,131318,Durham Chapel Hill Narrowed,55,name_other,3,"13,19,35",expr_layered
54033,49678,132910,PRS | MNTN Matched + Interests | Radius,5,name_other,4,"2,13,19,35",expr_layered
52097,46001,139769,PROS - MNTNM + No Active Subscription,2,name_other,2,"13,19",expr_pure_pp
52102,34408,120453,Custom One Home,2,name_other,2,"13,19",expr_pure_pp
52015,47068,141122,MNTN Pilot 29oct25,1,name_other,5,"4,13,17,19,35",expr_heavily_layered
51342,46879,140877,Prospecting Homeowners 10 mile radius,2,name_other,5,"13,17,18,19,35",expr_heavily_layered
53484,45921,139671,DOYLESTOWN HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
53576,45921,139671,PETERS TOWNSHIP HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
18682,36201,123697,Ursuline,8,name_other,4,"1,13,19,35",expr_layered
68884,40563,132791,Base and Matched Hispanic April 26 Target,4,name_other,6,"1,2,13,17,19,35",expr_heavily_layered
61510,45027,138498,Edit Test-5:28am-R4543-5002-lwi6m1,417,name_other,3,"13,17,19",expr_layered
52408,49338,123697,OCSU,8,name_other,4,"13,18,19,35",expr_layered
58448,45027,138498,Renamed-5:42am-9320-dk1au7,417,name_other,2,"13,19",expr_pure_pp
54212,35215,122462,Prospecting Omaha NE  - MNTN Matched - Nov 2025,280,name_other,4,"1,4,13,19",expr_layered
64556,45594,137815,Samy's Pro Photographer - Dynamic Audience - 20 Mi,1,name_other,4,"13,17,19,35",expr_layered
50665,46874,122462,Prospecting_MntnMatched,280,name_other,2,"13,19",expr_pure_pp
51402,32167,131579,Peak Performance ONLY,2,name_default_prefix,3,"4,13,19",expr_layered
63655,45027,138498,Edit Test-7:51pm-R9691-8663-dg9599,417,name_other,3,"13,17,19",expr_layered
51513,38292,131318,Plumbing 10/22 No Havertown MM removed,55,name_other,4,"1,13,19,35",expr_layered
53493,45921,139671,FALLS CHURCHHOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
54236,45616,139278,Los Angeles,5,name_other,4,"13,17,19,35",expr_layered
46206,33819,122462,ACT West Region,280,name_other,2,"13,19",expr_pure_pp
45632,42357,122462,Brand - NOVA - Keywords,280,name_other,2,"13,19",expr_pure_pp
52066,45477,122462,"V2 | OMF test audience Fredericksburg, VA",280,name_other,5,"13,17,18,19,35",expr_heavily_layered
53459,45921,139671,CANTON HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
50961,48827,136909,Honda Northampton Conquest,14,name_other,3,"13,17,19",expr_layered
43920,40329,131042,3Q Sioux Falls DMA minus Sioux Falls Proper,25,name_other,4,"13,17,19,35",expr_layered
71619,45027,138498,Renamed-6:53am-R1267-1155-2n428t,417,name_other,2,"13,19",expr_pure_pp
74172,35215,126669,Prospecting Corp - BLS Audience -  32026 KS MO IL IA excl,10,name_other,5,"2,4,13,19,35",expr_heavily_layered
53751,45027,138498,Edit Test 1763147341633,417,name_other,3,"13,17,19",expr_layered
53550,45921,139671,MORISVILLE HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
50171,39436,133995,RTD - MULTISERVE - WEGMANS,1,name_other,5,"13,17,18,19,35",expr_heavily_layered
52201,35349,123067,Q42025 Colorado Springs General Brand,9,name_other,5,"4,13,17,19,35",expr_heavily_layered
48747,32167,138414,e11,3,name_other,2,"13,19",expr_pure_pp
70539,60308,155375,1,2,name_other,2,"13,19",expr_pure_pp
48788,36065,123697,Matched ,8,name_other,2,"13,19",expr_pure_pp
64616,58219,153167,test,1,name_other,3,"13,19,35",expr_layered
53582,45921,139671,PUYALLUP HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
55585,45532,139172,Forager - T1 - 2026,6,name_other,4,"1,13,19,35",expr_layered
42468,43078,141431,General Retargeting Audience,1,name_other,3,"4,13,19",expr_layered
51467,35349,123067,Q42025 Orlando General Brand,9,name_other,5,"4,13,17,19,35",expr_heavily_layered
58760,40563,132791,Pressure Washer Pros,4,name_other,3,"13,19,35",expr_layered
55656,50675,145380,test audience 1,1,name_other,3,"13,19,35",expr_layered
54341,49304,143803,Harrisonburg 2.0,22,name_other,4,"13,17,19,35",expr_layered
59931,57575,138273,demo,3,name_other,2,"13,19",expr_pure_pp
63818,43029,116552,26' SS Prospecting,1,name_other,3,"13,19,35",expr_layered
50536,48696,142959,Landowner1,1,name_other,5,"4,13,17,19,35",expr_heavily_layered
62924,34058,153193,Reed's Crossing Q1 2026 (MP),2,name_other,4,"13,18,19,35",expr_layered
33941,31906,122462,Bouqs Subs Prospecting Audience 11-15-24 AB,280,name_other,5,"4,13,18,19,35",expr_heavily_layered
74401,45027,138498,Edit Test-9:07pm-R0951-6458-5eelfk,417,name_other,3,"13,19,35",expr_layered
64870,46958,140964,Prospecting - New Customer Acquisition ,3,name_other,4,"4,13,19,35",expr_layered
69948,45027,138498,Edit Test-9:04pm-R4573-9621-8ysnie,417,name_other,3,"13,19,35",expr_layered
53456,45921,139671,BROOKLINE HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
57345,45027,138498,Edit Test-3:24pm-9629-5k5h2q,417,name_other,3,"13,17,19",expr_layered
43909,39418,131042,3Q - Des Moines PFM,25,name_other,5,"1,4,13,19,35",expr_heavily_layered
56563,52320,147066,OCIE_TruckAccident_Adults25-70_MidIncome,1,name_other,6,"4,13,17,18,19,35",expr_heavily_layered
38259,31573,122462,MNTNMatched-Keywords,280,name_other,3,"2,13,19",expr_layered
36968,34611,131589,Prospecting Audience Feb 2025 LC,12,name_other,5,"1,4,13,19,35",expr_heavily_layered
45443,32987,118015,Brand - Americas250 - Prospecting - 7/21/25,6,name_other,5,"13,17,18,19,35",expr_heavily_layered
51371,44247,122462,Lia Hyundai Enfield ,280,name_other,4,"13,17,18,19",expr_layered
54099,47264,139776,Chalco,2,name_other,3,"13,19,35",expr_layered
56518,52451,147204,MNTN Matched and Demographics,1,name_other,3,"13,19,35",expr_layered
64842,45027,138498,Renamed-11:34am-R7995-8753-788sd1,417,name_other,2,"13,19",expr_pure_pp
53780,36515,136998,Walmart_RadiusList_Include_ATL,2,name_other,4,"4,13,19,35",expr_layered
53539,45921,139671,MANALAPAN HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
47798,40295,131042,South Bend and TC,25,name_other,5,"1,13,17,19,35",expr_heavily_layered
62157,45027,138498,Edit Test-7:54pm-R9808-1063-yuje45,417,name_other,3,"13,17,19",expr_layered
65441,45027,138498,Renamed-6:36am-R7601-5816-asv4jw,417,name_other,2,"13,19",expr_pure_pp
70660,37553,127810,FY26 CTX Transfer Apr-June,4,name_other,3,"13,19,35",expr_layered
30558,33021,122462,MNTN Matched Top Geos (July 1 Update),280,name_other,3,"2,13,19",expr_layered
48474,32954,129750,BOFM_MNTN Match_PROS- NY Phili Hart DMA,3,name_other,3,"2,13,19",expr_layered
59490,46635,140652,Streaming TV - Business Owners,2,name_other,3,"13,19,35",expr_layered
70435,45027,138498,Edit Test-6:35am-R4400-5489-duikln,417,name_other,3,"13,19,35",expr_layered
50355,47424,129373,VU NYC HUB Prospects,1,name_other,2,"13,19",expr_pure_pp
73043,32987,118015,Americas 250 - MNTN Match_4-13-26,6,name_other,4,"13,18,19,35",expr_layered
53533,45921,139671,LEXINGTON SC HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
67585,34471,121714,Spurs MNTN Matched,1,name_other,3,"4,13,19",expr_layered
73783,45027,138498,Renamed-6:55am-R1048-5414-n4jk39,417,name_other,2,"13,19",expr_pure_pp
64767,58963,153952,TELEVISION Campaign,1,name_other,2,"13,19",expr_pure_pp
62329,57965,150205,Londonderry_Caregivers,4,name_other,4,"13,18,19,35",expr_layered
31114,35094,130358,Keywords/Interests for High/Mid pop - updated 081525 AB,11,name_other,5,"2,4,13,19,35",expr_heavily_layered
52847,33467,122916,"Jim Gaffigan - Boise, ID - 6/11/26",13,name_other,5,"1,4,13,19,35",expr_heavily_layered
33533,37906,122462,MNTN Matched_V2,280,name_other,3,"1,13,19",expr_layered
47262,46426,140868,CTV Prospecting KM 8.26.25,1,name_other,3,"2,13,19",expr_layered
51045,48687,142955,Cheer,3,name_other,4,"13,17,19,35",expr_layered
63438,45027,138498,Renamed-7:55pm-R1458-9977-wgtvoe,417,name_other,2,"13,19",expr_pure_pp
41332,40337,132366,MNTN Matched(saratoga),10,name_other,4,"1,13,19,43",expr_layered
63819,55387,150222,Non Treatment Cell Audience,2,name_other,3,"2,13,19",expr_layered
65536,45027,138498,Edit Test-6:32am-R6994-4475-x47ni0,417,name_other,3,"13,17,19",expr_layered
39232,35849,122462,General payment keywords,280,name_other,4,"2,4,13,19",expr_layered
36208,33667,122462,MNTN Matched - Nursing,280,name_other,2,"13,19",expr_pure_pp
59335,45027,138498,Edit Test-8:00pm-2646-g61n6n,417,name_other,3,"13,17,19",expr_layered
73687,45027,138498,Renamed-9:22pm-R2245-4988-1leev0,417,name_other,2,"13,19",expr_pure_pp
51254,45550,122462,test,280,name_other,2,"13,19",expr_pure_pp
48801,32167,140409,mctest,2,name_other,3,"13,17,19",expr_layered
69310,60722,123344,High Intent Buyers,1,name_other,3,"13,19,35",expr_layered
69684,45027,138498,Edit Test-6:33am-R5515-9732-k3z2rl,417,name_other,3,"13,19,35",expr_layered
52530,34468,124508,Suncoast Broad Awareness Cashback+,1,name_other,7,"1,2,4,13,17,19,35",expr_heavily_layered
69511,47269,123174,Juliska - Mntn Match,1,name_other,2,"13,19",expr_pure_pp
54580,49669,144259,Gingerbread Wonderland Audience,1,name_other,4,"13,17,19,35",expr_layered
50800,40268,130487,Southwest Long Island,7,name_other,3,"13,19,43",expr_layered
54392,33760,119854,MSF 2025 EOY MNTN Matched,1,name_other,4,"2,4,13,19",expr_layered
51335,39277,125413,In-Store_MNTN-Matched_Tiffwich_Richardson-TX_NCA_ATTN,12,name_other,4,"2,4,13,19",expr_layered
72981,45027,138498,Edit Test-6:36am-R5889-8215-ivss4h,417,name_other,3,"13,19,35",expr_layered
48780,37893,133763,Interest Based,1,name_other,2,"13,19",expr_pure_pp
51054,44631,135092,MNTN - Matched 2.0 with Exclusions,2,name_other,3,"2,13,19",expr_layered
53336,40597,132849,Mid & Bottom Q4,1,name_other,2,"13,19",expr_pure_pp
47840,44848,122462,test,280,name_other,2,"13,19",expr_pure_pp
44522,36535,123697,home owner ,8,name_other,3,"13,17,19",expr_layered
50125,35573,130358,Prospecting KW 093025 AB,11,name_other,3,"2,13,19",expr_layered
50700,48620,156710,Vividly MNTN Audience,1,name_other,4,"2,4,13,19",expr_layered
67459,50792,145503,All Recommended,1,name_other,2,"13,19",expr_pure_pp
35363,40342,132366,Greenbrae - MNTN Matched (Peak Performance),10,name_contains,3,"1,13,19",expr_layered
53931,36482,125199,AI MNTN Match Profile - Prospecting,1,name_other,7,"2,4,13,17,18,19,35",expr_heavily_layered
70929,45027,138498,Renamed-6:50am-R5411-7436-8wr0ah,417,name_other,2,"13,19",expr_pure_pp
55594,51191,143394,Sportsman's Pride - Rural King,1,name_other,3,"13,19,35",expr_layered
64886,36678,120351,EX-46 New to Brand - Control,5,name_other,8,"1,4,13,17,19,21,34,35",expr_heavily_layered
64595,35215,120104,Prospecting Corp - BLS Audience -  Mar 2026,9,name_other,5,"2,4,13,19,35",expr_heavily_layered
42638,43610,122462,First Audience - CPSD,280,name_other,4,"13,18,19,35",expr_layered
61411,45027,138498,Renamed-5:30pm-R0738-3146-6fveui,417,name_other,2,"13,19",expr_pure_pp
51209,35349,123067,Q42025 Mobile-Pensacola General Brand,9,name_other,5,"4,13,17,19,35",expr_heavily_layered
53471,45921,139671,CLIFTON PARK HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
54153,49652,144234,New York Campaign,1,name_other,2,"13,19",expr_pure_pp
39909,33518,119456,National Prospecting - Tier 3 Participants,6,name_other,6,"2,4,13,17,19,35",expr_heavily_layered
55201,50559,132422,El Dorado Hills CA,1,name_other,3,"13,19,35",expr_layered
67060,58698,131318,HVAC & HHI150+ EXP,55,name_other,5,"13,17,18,19,35",expr_heavily_layered
50963,48826,136909,Honda Albany Customers,14,name_other,3,"13,17,19",expr_layered
72042,45027,138498,Renamed-9:17pm-R1177-7963-y7m995,417,name_other,2,"13,19",expr_pure_pp
47801,44418,137717,Sept MNTN Match,1,name_other,4,"4,13,19,35",expr_layered
64912,30506,113728,TELEVISION Campaign Copy 02,1,name_other,2,"13,19",expr_pure_pp
60705,57766,139288,MNTN Match Prospecting - Commercial Trailers (All),4,name_other,2,"13,19",expr_pure_pp
64612,58928,153910,TELEVISION Campaign,2,name_other,2,"13,19",expr_pure_pp
75073,58472,155260,Greenville SC,3,name_other,3,"13,19,35",expr_layered
53454,45921,139671,BRAINTREE HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
60589,45027,138498,Edit Test-7:52pm-R5128-8007-i1t6wz,417,name_other,3,"13,17,19",expr_layered
59730,45027,138498,Edit Test-7:55pm-2935-4zjid5,417,name_other,3,"13,17,19",expr_layered
61762,46340,141018,LA Pediatrics,2,name_other,5,"13,17,18,19,35",expr_heavily_layered
56086,50187,144854,HCU Audience,1,name_other,2,"13,19",expr_pure_pp
55712,38144,128669,MNTN Matched w/ Keywords_Edina_Q1 2026,1,name_other,3,"4,13,19",expr_layered
72591,62423,134495,General,2,name_other,2,"13,19",expr_pure_pp
53611,45921,139671,SUMMERLIN HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
51442,35086,122462,Rental Marketing KW (Peak Performance ON),280,name_contains,3,"4,13,19",expr_layered
54085,33467,119236,Nate Bargatze - Houston TX - 6.19.26,24,name_other,4,"4,13,19,35",expr_layered
68154,41100,130984,water 2026 03,1,name_other,2,"13,19",expr_pure_pp
73264,45027,138498,Renamed-6:52am-R1719-4404-ev72v5,417,name_other,2,"13,19",expr_pure_pp
47260,46479,131589,CTV Prospecting CM 8.26.25,12,name_other,4,"2,4,13,19",expr_layered
54210,35215,122462,Prospecting Louisville KY - MNTN Matched - Nov 2025,280,name_other,4,"1,4,13,19",expr_layered
48260,47141,141205,Ellipse,1,name_other,4,"13,17,19,35",expr_layered
70523,31297,115420,"NRO Manor, TX",2,name_other,2,"13,19",expr_pure_pp
41338,40337,139556,MNTN Matched (Niskayuna),8,name_other,4,"1,13,19,43",expr_layered
58164,45027,138498,Renamed-5:42am-2547-81egko,417,name_other,2,"13,19",expr_pure_pp
51463,44848,122462,Nov 2025 personal lines,280,name_other,2,"13,19",expr_pure_pp
67847,56607,155466,Prospecting April - June,4,name_other,2,"13,19",expr_pure_pp
54728,48582,142778,Studio - MNTN Matched and 5-Mi Radius,2,name_other,3,"4,13,19",expr_layered
53561,45921,139671,NORWALK HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
43050,41034,133484,MNTN Matched - Keywords [AR],9,name_other,3,"1,13,19",expr_layered
48634,46414,122462,Holiday Meals,280,name_other,4,"13,18,19,35",expr_layered
65889,37798,120104,2026 FID - DEI (MNTN - March '26),9,name_other,3,"1,13,19",expr_layered
64543,32192,116079,TELEVISION Campaign Group Copy 92,11,name_other,2,"13,19",expr_pure_pp
55641,38588,129497,Spring 2026 v.1,4,name_other,5,"13,17,18,19,35",expr_heavily_layered
